"Timestamp","What is your overall study/work hour per day","Average Sleep Hour","On average, how many hours per day do you spend on your smartphone or computer for non-work/non-school activities?","Exercise days per week","Stress level ","Which personality best describes you?"
"2026/02/15 1:47:48 am GMT+5:30","6","5","2","1","5","Creative Explorer"
"2026/02/15 9:08:14 am GMT+5:30","6","3","2","3","1","High Energy"
"2026/02/15 9:45:56 am GMT+5:30","2.5","5","4","0","6","Analytical Reserved"
"2026/02/15 12:38:58 pm GMT+5:30","8","5","8","3","6","Creative Explorer"
"2026/02/15 12:39:07 pm GMT+5:30","7","6 ","2","1","3","Creative Explorer"
"2026/02/15 12:41:27 pm GMT+5:30","4","7","8","0","5","Social Balanced"
"2026/02/15 12:46:51 pm GMT+5:30","8","5","5","4","2","High Energy"
"2026/02/15 12:47:29 pm GMT+5:30","9","6","8","4","3","Social Balanced"
"2026/02/15 12:47:39 pm GMT+5:30","5","7","6","3","8","Social Balanced"
"2026/02/15 12:48:23 pm GMT+5:30","6","8","4","1","4","Creative Explorer"
"2026/02/15 12:54:14 pm GMT+5:30","4","8","2","2","6","Social Balanced"
"2026/02/15 1:05:15 pm GMT+5:30","6","7","1","6","3","Social Balanced"
"2026/02/15 1:06:55 pm GMT+5:30","3","6","10","0","8","Analytical Reserved"
"2026/02/15 1:17:29 pm GMT+5:30","12","7","10","5","3","Creative Explorer"
"2026/02/15 1:22:06 pm GMT+5:30","08","08","3","4","4","Social Balanced"
"2026/02/15 1:35:08 pm GMT+5:30","7","5","4","2","7","Creative Explorer"
"2026/02/15 1:38:22 pm GMT+5:30","10","6","4","1","5","Social Balanced"
"2026/02/15 3:19:16 pm GMT+5:30","5","7","2","2","5","Deep Focused"
"2026/02/15 5:03:10 pm GMT+5:30","0","8","6","0","1","Social Balanced"
"2026/02/15 5:32:39 pm GMT+5:30","5","7","3","5","1","High Energy"
"2026/02/15 9:46:38 pm GMT+5:30","8","4","1","0","9","Deep Focused"
